av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
3956.0,451.45567027364075,1501.7,760.1475076150243,1845.8,307.3563982668257,2636.0,830.8809247486136,4284.5,1640.8044266964503,1022.4,298.09625589359183,1500.5,361.44870544334043,6622.0,786.5823401130855,670.1,189.5042948795034,791.1,173.24257239168693,8208.4,377.73306271316346,379.8,79.6070906947923,511.4,101.71878445553266,8842.4,241.22059982053312,254.9,45.209266503425795,20
4178.1,453.3184924041325,1044.7,665.1539587861512,2197.7,337.43280812629945,2848.0,896.8720954269653,3861.2,1714.4448923453006,1249.5,358.42502702796855,1630.0,387.63642759678817,6327.2,832.4041219397116,803.4,223.51296258705992,851.5,184.18785700112443,8032.0,431.96090358066226,449.9,89.84981295967673,551.2,121.03608277424271,8721.0,274.02027500006477,302.0,54.403839733770425,21
4347.3,400.03945638732523,727.8,580.0177775053298,2578.5,372.70221953249006,3027.3,945.2775077545571,3452.5,1758.9953098288806,1502.7,417.04570759357085,1758.1,412.33817027612986,6010.5,886.2144523508717,943.8,257.1202917788568,922.6,202.40344748930428,7857.0,469.3733410978231,521.7,101.95865174994552,593.0,134.44618915305028,8612.1,304.7678351357527,349.0,63.150613615387776,22
4448.1,345.6904363412124,476.4,481.7240334926673,2992.5,407.08155066139864,3177.4,954.5940614848922,3061.8,1744.7883539272036,1779.7,491.5775173414215,1890.2,444.4516721634523,5666.0,932.2640303166385,1097.3,282.3906081220754,991.0,219.12299945210884,7691.8,492.49270722180916,603.1,118.24499049760112,633.5,144.3200532766593,8504.0,324.5228976684251,403.7,74.31173079220625,23
4456.8,288.77088188081257,320.1,386.4201656803698,3437.6,443.46594507858714,3309.4,952.9914538499866,2695.2,1728.2496476043166,2078.0,573.094136149454,2012.8,468.093960178462,5347.5,985.4394676713758,1261.9,323.87633099344845,1056.9,238.1042955420073,7527.6,510.33087306178135,692.8,136.06191401139571,670.5,162.01388829356574,8377.6,355.95230641821166,463.6,85.9601975076579,24
4386.5,249.1551279379531,208.0,272.7090431617958,3884.5,477.79964420246273,3391.8,914.3023812964967,2349.9,1667.8057074425,2398.6,658.2985138471249,2120.9,474.3513582895185,5053.4,1033.5935371314974,1448.6,364.80472706489,1115.8,250.89121148418093,7342.9,556.0674319620678,792.8,160.63955511226575,718.7,179.80733516121578,8247.3,415.9989449772946,525.3,96.86078211077542,25
4260.6,208.4046278010373,130.1,182.82076833153647,4333.5,506.8399374775258,3477.7,838.4459235196189,2046.4,1563.9349375497975,2723.2,746.1490467728281,2220.0,478.5194759765676,4731.6,1074.8893689843412,1643.3,409.05638024876504,1179.5,269.74401445320956,7140.1,610.6409110289142,894.4,176.17049822386392,766.3,208.53246483195102,8125.3,463.1985535383288,585.6,110.63975576417167,26
4074.5,220.9832824245108,78.3,99.72634779457455,4795.6,527.7813520346807,3515.0,752.781508805842,1788.3,1477.063155950573,3063.1,825.5322121718409,2317.7,488.92400000181806,4417.5,1113.9876570231827,1850.9,450.27212759495666,1242.5,289.3199881714977,6954.4,664.1885943682629,1005.8,199.27301205465162,807.0,222.89259994695004,7993.9,507.5852309382796,659.2,128.3379219958864,27
3856.1,248.60564488093723,46.2,52.238342665559784,5244.7,530.2609525297688,3530.8,642.336325888203,1501.7,1327.3535951910728,3397.5,908.9447177909117,2395.2,485.58459613130236,4088.9,1147.1049985846012,2073.8,497.86830030083706,1287.1,315.1297616326752,6769.5,709.3031400215598,1131.9,219.9845701659803,852.5,246.6149720605877,7852.5,565.0353479601471,732.8,140.30585637575265,28
3603.5,280.7427648221767,31.9,34.61679104455267,5685.3,526.7322849417909,3518.6,518.8710394265183,1253.6,1193.5211397839216,3752.0,992.9584303708008,2481.5,488.5598450775731,3775.9,1129.9252138477523,2297.6,537.511384892347,1336.8,327.61827380860996,6563.1,765.1408657524734,1256.1,246.81322222819966,894.7,277.1594206308789,7709.5,595.9472851407804,814.5,151.418661700304,29
