time,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
34.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
34.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,1,0,0,0,0,0,37,0
34.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
34.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
34.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,1,0,0,0,0,41,0
34.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
34.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,3,0,0,0,0,0,48,2
35.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
35.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,1,0,0,0,0,0,37,0
35.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
35.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
35.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,1,0,0,0,0,0,42,0
35.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
35.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,3,0,0,0,0,0,48,2
36.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
36.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,1,0,0,0,0,0,37,0
36.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
36.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
36.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,0,0,0,0,0,0,43,0
36.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
36.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,3,0,0,0,0,0,48,2
37.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
37.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,0,0,0,0,0,0,38,0
37.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
37.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
37.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,0,0,0,0,0,0,43,0
37.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
37.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,3,0,0,0,0,0,48,2
38.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
38.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,0,0,0,0,0,0,38,0
38.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
38.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
38.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,0,0,0,0,0,0,43,0
38.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,1,0,0,1,0,0,23,0
38.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,3,0,0,0,0,0,48,2
39.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
39.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,0,0,0,0,0,0,38,0
39.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
39.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
39.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,0,0,0,0,0,0,43,0
39.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,0,0,0,0,0,0,25,0
39.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,2,0,0,0,0,0,49,2
40.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
40.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,0,0,0,0,0,0,38,0
40.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
40.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
40.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,0,0,0,0,0,0,43,0
40.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,0,0,0,0,0,0,25,0
40.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,2,0,0,0,0,0,49,2
41.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
41.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,0,0,0,0,0,0,38,0
41.0,8730986229538,0.17031764792621706,0.4687942992573725,4784,0,0,0,0,0,0,0,28,2
41.0,8730986229571,0.9389215519989197,0.10791443056624028,4688,0,0,0,0,0,0,0,32,0
41.0,8730986229604,0.14046963109556754,0.8337599139019943,4719,0,0,0,0,0,0,0,43,0
41.0,8730986229637,0.43814945488742074,0.9116226790930436,4601,0,0,0,0,0,0,0,25,0
41.0,8730986229670,0.8467976790275037,0.425615265214516,4642,0,2,0,0,0,0,0,49,2
42.0,8730986250623,0.6724354047312854,0.24828321183968183,4723,0,1,0,0,0,0,0,29,1
42.0,8730986224125,0.629028022831535,0.2748650776569722,4669,0,0,0,0,0,0,0,38,0
