cell,microcell,location_x,location_y,household_number,place_number,Susceptible,InfectMild
536,7,6.06666666666668,49.9166666666667,1,7,2,0
536,8,6.06666666666668,49.9166666666667,4,1,8,0
537,0,6.07500000000001,49.9166666666667,0,5,0,0
537,1,6.07500000000001,49.9166666666667,0,4,0,0
537,2,6.07500000000001,49.9166666666667,1,4,1,0
537,3,6.07500000000001,49.9166666666667,0,6,0,0
537,4,6.07500000000001,49.9166666666667,0,6,0,0
537,5,6.07500000000001,49.9166666666667,0,3,0,0
537,6,6.07500000000001,49.9166666666667,1,3,1,0
537,7,6.07500000000001,49.9166666666667,0,2,0,0
537,8,6.07500000000001,49.9166666666667,0,3,0,0
538,0,6.08333333333334,49.9166666666667,5,4,10,0
538,1,6.08333333333334,49.9166666666667,2,6,4,0
538,2,6.08333333333334,49.9166666666667,2,6,4,0
538,3,6.08333333333334,49.9166666666667,1,5,2,0
538,4,6.08333333333334,49.9166666666667,2,5,3,0
538,5,6.08333333333334,49.9166666666667,1,6,2,0
538,6,6.08333333333334,49.9166666666667,3,6,6,0
538,7,6.08333333333334,49.9166666666667,2,5,4,0
538,8,6.08333333333334,49.9166666666667,2,6,3,0
539,0,6.10000000000001,49.9166666666667,2,5,3,0
539,1,6.10000000000001,49.9166666666667,2,4,3,0
539,2,6.10000000000001,49.9166666666667,3,7,5,0
539,3,6.10000000000001,49.9166666666667,2,6,4,0
539,4,6.10000000000001,49.9166666666667,4,3,8,0
539,5,6.10000000000001,49.9166666666667,4,7,9,0
539,6,6.10000000000001,49.9166666666667,2,4,3,0
539,7,6.10000000000001,49.9166666666667,2,9,3,0
539,8,6.10000000000001,49.9166666666667,2,5,4,0
540,0,6.10833333333334,49.9166666666667,1,7,1,0
540,1,6.10833333333334,49.9166666666667,2,5,4,0
540,2,6.10833333333334,49.9166666666667,1,3,1,0
540,3,6.10833333333334,49.9166666666667,0,5,0,0
540,4,6.10833333333334,49.9166666666667,0,3,0,0
540,5,6.10833333333334,49.9166666666667,0,5,0,0
540,6,6.10833333333334,49.9166666666667,1,5,1,0
540,7,6.10833333333334,49.9166666666667,0,3,0,0
540,8,6.10833333333334,49.9166666666667,1,7,2,0
