time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
22.0,4,8,0,3,0,1,0,0,0,16,0
22.0,5,10,0,3,2,1,0,0,0,16,0
22.0,6,14,0,3,2,1,0,0,0,16,0
22.0,7,16,0,3,2,1,0,0,0,17,0
22.0,8,16,0,4,2,1,0,0,0,26,0
22.0,9,16,0,4,2,1,0,0,0,34,0
22.0,10,16,0,4,2,1,0,0,0,43,0
22.0,11,16,0,4,3,1,0,0,0,44,0
22.0,12,16,0,5,3,1,0,0,0,54,0
22.0,13,16,0,6,3,1,0,0,0,61,0
22.0,14,16,0,6,3,1,0,0,0,63,0
22.0,15,16,0,6,3,1,0,0,0,65,0
22.0,16,16,0,6,3,1,0,0,0,67,0
22.0,17,16,0,8,3,1,0,0,0,70,2
23.0,1,0,0,0,0,0,0,0,0,5,0
23.0,2,0,0,1,0,1,0,0,0,13,0
23.0,3,3,0,2,0,1,0,0,0,16,0
23.0,4,6,2,2,0,1,0,0,0,17,0
23.0,5,8,2,2,2,1,0,0,0,17,0
23.0,6,12,2,2,2,1,0,0,0,17,0
23.0,7,14,2,2,2,1,0,0,0,18,0
23.0,8,14,2,3,2,1,0,0,0,27,0
23.0,9,14,2,3,2,1,0,0,0,35,0
23.0,10,14,2,3,2,1,0,0,0,44,0
23.0,11,14,2,3,3,1,0,0,0,45,0
23.0,12,14,2,4,3,1,0,0,0,55,0
23.0,13,14,2,5,3,1,0,0,0,62,0
23.0,14,14,2,5,3,1,0,0,0,64,0
23.0,15,14,2,5,3,1,0,0,0,66,0
23.0,16,14,2,5,3,1,0,0,0,68,0
23.0,17,14,2,7,3,1,0,0,0,71,2
24.0,1,0,0,0,0,0,0,0,0,5,0
24.0,2,0,0,1,0,0,0,0,0,14,0
24.0,3,0,2,3,0,0,0,0,0,17,0
24.0,4,0,6,3,1,0,0,0,0,18,0
24.0,5,1,7,3,3,0,0,0,0,18,0
24.0,6,2,10,3,3,0,0,0,0,18,0
24.0,7,3,11,3,3,0,0,0,0,19,0
24.0,8,3,11,4,3,0,0,0,0,28,0
24.0,9,3,11,4,3,0,0,0,0,36,0
24.0,10,3,11,4,3,0,0,0,0,45,0
24.0,11,3,11,4,3,0,0,0,0,47,0
24.0,12,3,11,4,3,0,0,0,0,58,0
24.0,13,3,11,5,3,0,0,0,0,65,0
24.0,14,3,11,5,3,0,0,0,0,67,0
24.0,15,3,11,5,3,0,0,0,0,69,0
24.0,16,3,11,5,3,0,0,0,0,71,0
24.0,17,3,11,6,3,0,0,0,0,75,2
25.0,1,0,0,0,0,0,0,0,0,5,0
25.0,2,0,0,1,0,0,0,0,0,14,0
25.0,3,0,2,3,0,0,0,0,0,17,0
25.0,4,0,5,3,2,0,0,0,0,18,0
25.0,5,1,6,3,3,0,0,0,0,19,0
25.0,6,1,10,3,3,0,0,0,0,19,0
25.0,7,1,10,3,5,0,0,0,0,20,0
25.0,8,1,10,4,5,0,0,0,0,29,0
25.0,9,1,10,4,5,0,0,0,0,37,0
25.0,10,1,10,4,5,0,0,0,0,46,0
25.0,11,1,10,4,5,0,0,0,0,48,0
25.0,12,1,10,4,5,0,0,0,0,59,0
25.0,13,1,10,4,5,0,0,0,0,67,0
25.0,14,1,10,4,5,0,0,0,0,69,0
25.0,15,1,10,4,5,0,0,0,0,71,0
25.0,16,1,10,4,5,0,0,0,0,73,0
25.0,17,1,10,5,5,0,0,0,0,77,2
26.0,1,0,0,0,0,0,0,0,0,5,0
26.0,2,0,0,1,0,0,0,0,0,14,0
26.0,3,0,2,3,0,0,0,0,0,17,0
26.0,4,0,4,3,2,1,0,0,0,18,0
26.0,5,0,6,3,3,1,0,0,0,19,0
26.0,6,0,10,3,3,1,0,0,0,19,0
26.0,7,0,10,3,5,1,0,0,0,20,0
26.0,8,0,10,4,5,1,0,0,0,29,0
26.0,9,0,10,4,5,1,0,0,0,37,0
26.0,10,0,10,4,5,1,0,0,0,46,0
26.0,11,0,10,4,5,1,0,0,0,48,0
26.0,12,0,10,4,5,1,0,0,0,59,0
26.0,13,0,10,4,5,1,0,0,0,67,0
26.0,14,0,10,4,5,1,0,0,0,69,0
26.0,15,0,10,4,5,1,0,0,0,71,0
26.0,16,0,10,4,5,1,0,0,0,73,0
26.0,17,0,10,5,5,1,0,0,0,77,2
27.0,1,0,0,0,0,0,0,0,0,5,0
27.0,2,0,0,1,0,0,0,0,0,14,0
27.0,3,0,2,3,0,0,0,0,0,17,0
27.0,4,0,3,3,3,1,0,0,0,18,0
27.0,5,0,5,3,4,1,0,0,0,19,0
27.0,6,0,8,3,5,1,0,0,0,19,0
27.0,7,0,8,3,7,1,0,0,0,20,0
27.0,8,0,8,4,7,1,0,0,0,29,0
27.0,9,0,8,4,7,1,0,0,0,37,0
27.0,10,0,8,4,7,1,0,0,0,46,0
27.0,11,0,8,4,7,1,0,0,0,48,0
27.0,12,0,8,4,7,1,0,0,0,59,0
27.0,13,0,8,4,7,1,0,0,0,67,0
27.0,14,0,8,4,7,1,0,0,0,69,0
27.0,15,0,8,4,7,1,0,0,0,71,0
27.0,16,0,8,4,7,1,0,0,0,73,0
27.0,17,0,8,4,7,1,0,0,0,78,2
28.0,1,0,0,0,0,0,0,0,0,5,0
28.0,2,0,0,1,0,0,0,0,0,14,0
28.0,3,0,0,3,2,0,0,0,0,17,0
28.0,4,0,1,3,5,1,0,0,0,18,0
28.0,5,0,3,3,6,1,0,0,0,19,0
28.0,6,0,6,3,7,1,0,0,0,19,0
28.0,7,0,6,3,9,1,0,0,0,20,0
28.0,8,0,6,4,9,1,0,0,0,29,0
28.0,9,0,6,4,9,1,0,0,0,37,0
28.0,10,0,6,4,9,1,0,0,0,46,0
28.0,11,0,6,4,9,1,0,0,0,48,0
28.0,12,0,6,4,9,1,0,0,0,59,0
28.0,13,0,6,4,9,1,0,0,0,67,0
28.0,14,0,6,4,9,1,0,0,0,69,0
28.0,15,0,6,4,9,1,0,0,0,71,0
28.0,16,0,6,4,9,1,0,0,0,73,0
28.0,17,0,6,4,9,1,0,0,0,78,2
29.0,1,0,0,0,0,0,0,0,0,5,0
29.0,2,0,0,1,0,0,0,0,0,14,0
29.0,3,0,0,3,2,0,0,0,0,17,0
29.0,4,0,1,3,5,1,0,0,0,18,0
29.0,5,0,3,3,6,1,0,0,0,19,0
29.0,6,0,5,4,7,1,0,0,0,19,0
29.0,7,0,5,4,9,1,0,0,0,20,0
29.0,8,0,5,5,9,1,0,0,0,29,0
29.0,9,0,5,5,9,1,0,0,0,37,0
29.0,10,0,5,5,9,1,0,0,0,46,0
29.0,11,0,5,5,9,1,0,0,0,48,0
29.0,12,0,5,5,9,1,0,0,0,59,0
29.0,13,0,5,5,9,1,0,0,0,67,0
29.0,14,0,5,5,9,1,0,0,0,69,0
29.0,15,0,5,5,9,1,0,0,0,71,0
