timestep,age_group,Susceptible,Exposed,InfectASympt,InfectMild,InfectGP,InfectHosp,InfectICU,InfectICURecov,Recovered,Dead
25,5,932,63,144,95,51,2,1,0,400,0
25,6,990,48,183,88,46,1,1,0,459,0
25,7,1250,92,213,111,70,1,0,0,589,0
25,8,1603,103,247,147,80,7,2,0,661,2
25,9,1476,103,252,141,71,10,0,0,655,3
25,10,1415,85,233,140,76,21,0,0,648,8
25,11,1270,90,205,118,65,14,4,2,560,2
25,12,1134,88,187,97,81,14,10,2,522,5
25,13,1645,8,25,8,8,1,4,0,64,0
25,14,1458,4,12,7,5,1,1,0,48,1
25,15,1182,3,15,9,3,2,0,0,24,0
25,16,1912,5,20,10,7,4,0,0,48,1
26,0,1148,20,45,30,17,0,0,0,128,0
26,1,1003,67,94,77,36,0,0,0,326,0
26,2,924,81,171,123,50,0,0,0,490,0
26,3,1061,39,96,77,32,1,0,0,271,0
26,4,1072,39,116,65,38,0,0,0,307,0
26,5,928,49,141,94,41,1,1,0,433,0
26,6,984,42,173,77,49,1,1,0,489,0
26,7,1244,83,207,98,64,2,0,0,628,0
26,8,1596,87,236,132,71,7,2,0,719,2
26,9,1468,87,247,123,63,11,0,0,709,3
26,10,1406,76,219,118,62,20,1,0,715,9
26,11,1266,75,192,105,59,16,4,2,608,3
26,12,1129,76,179,89,75,13,11,2,558,8
26,13,1644,8,25,8,7,1,5,0,65,0
26,14,1457,5,12,4,5,1,1,0,51,1
26,15,1182,2,14,8,4,2,0,0,26,0
26,16,1911,6,20,9,5,3,0,0,51,2
27,0,1148,17,44,23,16,0,0,0,140,0
27,1,1003,54,88,67,38,0,0,0,353,0
27,2,914,76,164,120,42,0,0,0,523,0
27,3,1053,34,88,72,30,1,0,0,299,0
27,4,1068,35,114,56,27,0,0,0,337,0
27,5,919,44,133,83,38,1,1,0,469,0
27,6,975,35,165,68,48,1,1,0,523,0
27,7,1241,66,192,91,58,3,0,0,675,0
27,8,1586,78,224,117,65,6,2,0,772,2
27,9,1460,78,240,110,49,7,1,0,762,4
27,10,1399,64,215,104,53,16,2,0,763,10
27,11,1257,66,186,92,59,15,4,1,646,4
27,12,1118,67,164,88,70,11,13,2,599,8
27,13,1644,7,25,8,5,2,4,0,67,1
27,14,1457,3,11,2,6,1,0,1,55,1
27,15,1182,1,13,4,4,2,0,0,32,0
27,16,1911,4,20,9,5,3,0,0,53,2
28,0,1136,22,44,21,14,0,0,0,151,0
28,1,979,63,86,65,35,0,0,0,375,0
28,2,894,81,163,105,33,0,0,0,563,0
28,3,1042,37,90,65,30,1,0,0,312,0
28,4,1063,30,104,54,23,0,0,0,363,0
28,5,913,43,122,76,35,1,1,0,497,0
28,6,967,33,161,62,46,1,0,0,545,1
28,7,1231,60,186,87,54,2,0,0,706,0
28,8,1579,66,220,105,62,7,2,0,809,2
28,9,1445,72,229,101,46,8,2,0,804,4
28,10,1391,56,205,97,43,15,2,0,806,11
28,11,1248,60,177,92,49,13,5,1,681,4
28,12,1113,56,157,83,60,11,14,1,637,8
28,13,1643,5,22,9,4,1,6,0,72,1
28,14,1457,2,11,1,5,1,0,1,58,1
28,15,1181,2,13,3,4,2,0,0,33,0
28,16,1911,4,19,9,5,3,0,0,54,2
29,0,1136,19,42,19,11,0,0,0,161,0
29,1,976,57,86,59,34,0,0,0,391,0
29,2,890,70,158,92,30,0,0,0,599,0
29,3,1041,31,86,56,28,1,0,0,334,0
29,4,1063,23,96,48,21,0,0,0,386,0
29,5,912,36,116,70,28,1,1,0,524,0
29,6,967,28,147,51,37,1,0,0,584,1
29,7,1228,48,179,83,51,2,0,0,735,0
29,8,1577,52,208,97,56,7,2,0,851,2
29,9,1443,58,214,92,43,7,2,0,848,4
29,10,1390,41,205,83,38,11,3,0,844,11
29,11,1247,49,168,81,42,13,4,1,720,5
29,12,1112,44,148,81,47,10,15,1,673,9
29,13,1643,4,21,9,4,1,6,0,74,1
29,14,1456,3,8,1,3,2,0,1,62,1
29,15,1181,1,13,0,5,2,0,0,36,0
29,16,1910,5,17,7,4,2,0,0,58,4
30,0,1132,21,40,14,8,0,0,0,173,0
30,1,972,50,88,49,29,0,0,0,415,0
30,2,885,64,147,86,25,0,0,0,632,0
30,3,1041,24,78,48,25,1,0,0,360,0
30,4,1059,20,91,42,20,0,0,0,405,0
30,5,911,29,103,63,22,0,1,0,558,1
30,6,967,20,141,45,33,0,0,0,609,1
30,7,1225,40,168,71,40,3,0,0,779,0
30,8,1577,40,194,86,54,8,2,0,889,2
30,9,1440,46,197,78,38,8,2,0,898,4
30,10,1388,29,194,67,31,11,4,0,891,11
30,11,1246,38,153,79,40,15,3,0,749,7
30,12,1112,30,143,77,41,7,15,2,703,10
30,13,1643,4,19,8,4,1,5,0,77,2
30,14,1456,3,8,1,3,2,0,1,62,1
30,15,1181,1,12,0,4,2,0,0,38,0
30,16,1910,4,18,3,3,2,0,0,63,4
31,0,1131,18,40,15,8,0,0,0,176,0
31,1,970,39,86,47,25,0,0,0,436,0
31,2,879,59,136,77,24,0,0,0,664,0
31,3,1037,21,81,37,24,1,0,0,376,0
31,4,1059,16,90,38,17,0,0,0,417,0
31,5,910,28,96,55,16,0,1,0,581,1
31,6,964,17,131,42,29,0,0,0,632,1
31,7,1224,34,161,61,31,3,0,0,812,0
31,8,1570,38,186,76,40,8,0,0,930,4
31,9,1439,35,183,63,36,8,1,1,941,4
31,10,1385,27,181,50,26,11,4,0,931,11
31,11,1244,31,144,60,35,14,1,0,791,10
31,12,1111,22,136,71,38,6,15,2,729,10
31,13,1643,1,18,4,6,1,4,0,83,3
31,14,1456,3,6,0,2,2,0,1,66,1
31,15,1181,1,11,0,4,2,0,0,39,0
31,16,1909,5,18,3,2,1,0,0,65,4
32,0,1129,17,37,13,9,0,0,0,183,0
32,1,965,33,85,41,28,0,0,0,451,0
32,2,876,46,128,71,26,0,0,0,692,0
32,3,1036,14,80,37,23,0,0,0,387,0
32,4,1058,13,82,38,16,0,0,0,430,0
32,5,908,25,92,48,14,0,1,0,599,1
