av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
4377.6,208.92593052190637,197.5,257.13690689764644,3842.0,440.6696923748873,3434.6,923.8401978216315,2254.3,1697.9608718171987,2432.6,659.0193387821703,2140.9,566.7165566273458,5027.3,1164.77256244394,1471.9,397.1536086816899,1139.4,237.5047134035215,7290.0,535.5022564533848,818.8,157.5216387251817,733.7,153.30293176873326,8215.4,378.03856358254717,533.2,92.19399835853379,25
4267.0,177.2374427459139,117.3,173.4461491837356,4295.0,468.06433555892954,3522.4,859.3562448458472,1930.3,1583.6831227658306,2757.6,746.9233487372643,2240.8,552.4862592559806,4729.9,1188.4668414950977,1664.7,454.2532455702558,1199.1,258.3849195805875,7101.7,584.0848587510399,924.7,174.01791095554884,786.1,187.66012421988378,8090.0,414.24281660773687,595.7,102.70675624211768,26
4110.2,188.79136044262665,68.6,90.2295837171921,4735.1,474.74682141584105,3553.6,774.7550437252912,1655.2,1473.8067715952454,3104.1,833.055213589645,2319.8,543.8818907732735,4430.5,1195.1599846417587,1879.9,506.80709676693886,1257.1,277.40762226169795,6913.4,638.7002774732797,1038.1,194.37789654862166,824.5,200.14064499191008,7940.8,456.55808928206375,671.7,118.5880357465382,27
3889.2,215.93867442195508,37.6,41.39028334712817,5197.2,483.28638852478906,3556.9,662.1004371610767,1397.7,1348.368071245962,3456.9,916.3747959577821,2401.9,529.1843724071979,4123.5,1197.3761360203864,2093.4,564.5531566351098,1306.6,299.1347522438675,6727.4,679.4211915708514,1158.5,217.30994250404447,862.3,225.04915512443546,7788.1,523.7067563691219,748.1,128.18948648170974,28
3653.2,252.7281367618396,25.2,23.84114091229696,5634.1,481.5367644900601,3528.6,538.3140760229519,1174.3,1207.4231560549838,3823.1,1008.5352910698432,2477.1,501.4471169636047,3833.6,1188.3300327209888,2327.0,621.6601429505782,1352.9,312.9495699523061,6530.8,738.2832639155365,1286.0,239.81196337501135,905.2,255.41373842802147,7659.8,560.2905595413072,831.6,142.29874677358663,29
3372.0,291.46221405565115,19.2,15.497670075781642,6056.5,478.71337980048145,3468.3,405.0640690063734,983.4,1059.1085559721125,4194.3,1089.2628547172014,2526.8,472.9972515776387,3554.3,1198.354710055045,2570.4,674.2611099896275,1400.9,337.02042470251956,6326.3,794.2487785462577,1417.1,265.2267164354132,945.1,274.8496356596134,7521.2,611.8752233003793,917.4,159.6414037077405,30
3102.3,299.0113524414899,15.2,11.360751148875089,6443.8,453.5971781217339,3397.4,285.32172873598125,810.5,907.5630679033949,4558.8,1153.960600136186,2566.2,442.7122968450027,3260.9,1187.051009855937,2826.3,723.79141409049,1451.1,361.8816411787454,6126.5,821.5568215961152,1550.4,292.5832075381862,987.6,287.9626518993199,7379.5,665.8860846854947,1005.2,181.86979469450725,31
2818.0,283.10696839808725,12.1,8.412292592787454,6819.1,414.39284903739997,3287.6,185.38440543308323,659.7,760.0029312808967,4933.8,1210.9007482953434,2589.0,407.2116566766395,2963.1,1154.5527705566342,3087.7,778.095117007626,1499.9,382.4910892208253,5934.3,883.9553847464374,1693.4,317.519273255796,1025.4,299.26287218207784,7234.6,712.7764492929509,1098.1,206.52331049491187,32
2541.7,288.62934708722884,9.5,6.802777210652851,7164.1,390.15593748596933,3180.7,213.65083144649304,531.3,639.3531540201827,5289.9,1248.8797157630693,2628.0,374.82143896942597,2702.6,1141.7050796457415,3341.0,815.0134286555583,1541.9,407.08078641304934,5730.9,951.7607600886078,1837.1,340.9677241160648,1067.8,323.6760383126588,7085.1,756.9543432584146,1193.9,227.6266192205511,33
2280.8,285.6516137613167,8.2,5.593647190240809,7480.8,361.56105985020014,3048.7,302.82449996289563,414.1,521.4218701461099,5643.8,1268.3517563269968,2644.4,327.73980194321496,2437.7,1110.0650681629231,3597.3,861.8405433850406,1584.2,418.30791423437245,5501.7,1001.8873356487411,1989.7,378.06085635927866,1103.0,339.7168755825291,6938.9,812.4127919010411,1295.8,251.9725734634184,34
