av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
458.9,149.54259891044052,0.2,0.6324555320336759,9387.6,147.0715623240756,1836.4,185.28428607592892,1871.2,1012.3651954156113,3534.2,885.7028345393907,41
392.1,128.81377600586393,0.2,0.6324555320336759,9453.9,126.4185728267629,1830.2,164.4842444329142,1712.5,991.0023264912708,3719.8,910.0275697899365,42
331.3,114.67640462526622,0.2,0.6324555320336759,9513.5,113.33848027528475,1816.8,156.3356787315181,1551.7,955.3228715407629,3911.0,922.5457531562685,43
280.8,96.23328137627045,0.2,0.6324555320336759,9563.7,95.28209578812684,1795.6,145.11466730371077,1403.9,917.5723344177771,4098.5,937.4555693175248,44
235.7,82.42039930880111,0.2,0.6324555320336759,9608.3,82.36106145773283,1776.2,141.76882591035312,1257.7,867.9299830951547,4282.9,952.0322648594076,45
195.2,70.69150506877675,0.2,0.6324555320336759,9648.2,71.59577889481723,1747.4,154.70057099657606,1129.8,821.4596493775915,4472.7,963.5348174531341,46
161.8,63.738702702692514,0.2,0.6324555320336759,9681.5,65.43911504427437,1714.0,176.9783414244052,1009.8,781.2260734113896,4661.0,963.7295609592281,47
133.3,53.40214311138541,0.2,0.6324555320336759,9709.6,55.58017232391022,1675.1,201.7635855263393,885.6,726.3814730872783,4842.6,967.3054441189826,48
111.3,46.692968778321784,0.2,0.6324555320336759,9731.2,49.07771614717032,1633.3,226.11209117996714,781.0,677.7580689302047,5027.0,971.5612864525497,49
89.5,38.82224448259872,0.2,0.6324555320336759,9752.9,41.51157803686956,1601.3,260.2336770417439,687.5,640.1529765090008,5197.5,969.196259221469,50
69.6,33.19705475557198,0.2,0.6324555320336759,9772.8,36.11955456843595,1548.6,294.2082406882732,593.2,601.1887852875797,5373.1,968.5386988195727,51
54.1,29.129786206638123,0.2,0.6324555320336759,9788.1,31.93900436770063,1495.7,321.40733933402606,508.2,552.2460804146402,5543.3,957.7525834531125,52
43.0,25.841396591085743,0.2,0.6324555320336759,9799.1,28.765140940613055,1439.8,333.4672397702659,446.1,519.9214577435926,5710.0,936.6684460244072,53
32.5,19.642640691448115,0.2,0.6324555320336759,9809.6,23.9220957833269,1382.0,354.2911545921267,378.6,467.82978861025,5867.5,912.8221501353797,54
26.3,17.59450671848082,0.2,0.6324555320336759,9815.8,22.129919415427914,1320.4,365.14052089572306,314.4,413.3121499948112,6020.3,882.6842961482132,55
19.4,12.509551905999228,0.2,0.6324555320336759,9822.6,18.02590728183559,1259.7,369.5002781535564,265.1,374.6021445035608,6168.0,851.9550066366963,56
14.0,8.956685895029603,0.2,0.6324555320336759,9828.0,15.304320377665329,1194.3,381.58908964137504,225.9,334.00946427043385,6311.1,828.027032569992,57
10.8,8.024961059095553,0.2,0.6324555320336759,9831.2,14.927975229227991,1129.6,385.5755294217838,188.2,288.5314540912307,6446.8,795.8337068061951,58
8.7,7.0087247215326,0.2,0.6324555320336759,9833.3,14.461058820923945,1059.9,384.49344742285416,156.7,255.9544447314361,6580.0,760.0425426689394,59
6.5,4.813176359397884,0.2,0.6324555320336759,9835.5,13.615758843666734,997.7,385.86613971399174,130.0,224.3335809805468,6700.2,727.2731108584848,60
