time,age_group,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
14.0,6,0,2,7,4,1,0,0,0,22,0
14.0,7,0,2,7,5,2,0,0,0,23,0
14.0,8,0,2,7,7,5,0,0,0,28,0
14.0,9,0,3,9,9,5,0,0,0,31,0
14.0,10,0,4,11,11,6,1,0,0,33,0
14.0,11,0,4,12,11,7,1,0,0,33,0
14.0,12,0,4,14,12,7,1,0,0,41,0
14.0,13,0,5,17,12,7,1,0,0,44,1
14.0,14,0,6,17,12,7,1,0,0,45,1
14.0,15,0,6,18,12,7,1,0,0,46,1
14.0,16,0,6,18,12,8,1,0,0,47,1
14.0,17,0,7,18,12,9,2,0,0,51,1
15.0,1,0,0,0,2,0,0,0,0,3,0
15.0,2,0,0,2,2,0,0,0,0,11,0
15.0,3,0,1,4,3,0,0,0,0,14,0
15.0,4,0,1,5,4,0,0,0,0,18,0
15.0,5,0,1,6,4,0,0,0,0,21,0
15.0,6,0,1,7,4,0,0,0,0,24,0
15.0,7,0,1,7,5,1,0,0,0,25,0
15.0,8,0,1,7,7,4,0,0,0,30,0
15.0,9,0,1,10,8,4,0,0,0,34,0
15.0,10,0,1,13,8,4,1,0,0,39,0
15.0,11,0,1,14,8,5,1,0,0,39,0
15.0,12,0,1,16,9,5,1,0,0,47,0
15.0,13,0,2,19,9,5,1,0,0,50,1
15.0,14,0,3,19,9,5,1,0,0,51,1
15.0,15,0,3,20,9,5,1,0,0,52,1
15.0,16,0,3,20,9,6,1,0,0,53,1
15.0,17,0,3,21,9,7,2,0,0,57,1
16.0,1,0,0,0,2,0,0,0,0,3,0
16.0,2,0,0,2,2,0,0,0,0,11,0
16.0,3,0,1,4,3,0,0,0,0,14,0
16.0,4,0,1,5,4,0,0,0,0,18,0
16.0,5,0,1,6,4,0,0,0,0,21,0
16.0,6,0,1,6,4,0,0,0,0,25,0
16.0,7,0,1,6,5,1,0,0,0,26,0
16.0,8,0,1,6,7,2,0,0,0,33,0
16.0,9,0,1,9,8,2,0,0,0,37,0
16.0,10,0,1,12,8,2,0,0,0,43,0
16.0,11,0,1,13,8,3,0,0,0,43,0
16.0,12,0,1,15,9,3,0,0,0,51,0
16.0,13,0,1,19,9,3,0,0,0,54,1
16.0,14,0,2,19,9,3,0,0,0,55,1
16.0,15,0,2,20,9,3,0,0,0,56,1
16.0,16,0,2,20,9,4,0,0,0,57,1
16.0,17,0,2,21,9,5,1,0,0,61,1
17.0,1,0,0,0,2,0,0,0,0,3,0
17.0,2,0,0,2,2,0,0,0,0,11,0
17.0,3,0,0,5,3,0,0,0,0,14,0
17.0,4,0,0,6,4,0,0,0,0,18,0
17.0,5,0,0,7,4,0,0,0,0,21,0
17.0,6,0,0,7,4,0,0,0,0,25,0
17.0,7,0,0,7,4,1,0,0,0,27,0
17.0,8,0,0,7,6,1,0,0,0,35,0
17.0,9,0,0,10,7,1,0,0,0,39,0
17.0,10,0,0,13,7,1,0,0,0,45,0
17.0,11,0,0,14,7,2,0,0,0,45,0
17.0,12,0,0,16,8,2,0,0,0,53,0
17.0,13,0,0,20,8,2,0,0,0,56,1
17.0,14,0,0,21,8,2,0,0,0,57,1
17.0,15,0,0,22,8,2,0,0,0,58,1
17.0,16,0,0,22,8,2,0,0,0,60,1
17.0,17,0,0,23,8,2,2,0,0,64,1
18.0,1,0,0,0,1,0,0,0,0,4,0
18.0,2,0,0,2,1,0,0,0,0,12,0
18.0,3,0,0,5,2,0,0,0,0,15,0
18.0,4,0,0,6,3,0,0,0,0,19,0
18.0,5,0,0,7,3,0,0,0,0,22,0
18.0,6,0,0,7,3,0,0,0,0,26,0
18.0,7,0,0,7,3,1,0,0,0,28,0
18.0,8,0,0,7,4,1,0,0,0,37,0
18.0,9,0,0,10,5,1,0,0,0,41,0
18.0,10,0,0,13,5,1,0,0,0,47,0
18.0,11,0,0,13,5,2,0,0,0,48,0
18.0,12,0,0,15,6,2,0,0,0,56,0
18.0,13,0,0,19,6,2,0,0,0,59,1
18.0,14,0,0,20,6,2,0,0,0,60,1
18.0,15,0,0,21,6,2,0,0,0,61,1
18.0,16,0,0,21,6,2,0,0,0,63,1
18.0,17,0,0,22,6,2,2,0,0,67,1
19.0,1,0,0,0,0,0,0,0,0,5,0
19.0,2,0,0,2,0,0,0,0,0,13,0
19.0,3,0,0,4,1,0,0,0,0,17,0
19.0,4,0,0,5,2,0,0,0,0,21,0
19.0,5,0,0,6,2,0,0,0,0,24,0
19.0,6,0,0,6,2,0,0,0,0,28,0
19.0,7,0,0,6,2,1,0,0,0,30,0
19.0,8,0,0,6,2,1,0,0,0,40,0
19.0,9,0,0,9,3,1,0,0,0,44,0
19.0,10,0,0,11,3,1,0,0,0,51,0
19.0,11,0,0,11,3,1,0,0,0,53,0
19.0,12,0,0,13,4,1,0,0,0,61,0
19.0,13,0,0,16,4,1,0,0,0,65,1
19.0,14,0,0,17,4,1,0,0,0,66,1
19.0,15,0,0,18,4,1,0,0,0,67,1
19.0,16,0,0,18,4,1,0,0,0,69,1
19.0,17,0,0,19,4,1,1,0,0,74,1
20.0,1,0,0,0,0,0,0,0,0,5,0
20.0,2,0,0,2,0,0,0,0,0,13,0
20.0,3,0,0,4,1,0,0,0,0,17,0
20.0,4,0,0,5,2,0,0,0,0,21,0
20.0,5,0,0,6,2,0,0,0,0,24,0
20.0,6,0,0,6,2,0,0,0,0,28,0
20.0,7,0,0,6,2,1,0,0,0,30,0
20.0,8,0,0,6,2,1,0,0,0,40,0
20.0,9,0,0,8,3,1,0,0,0,45,0
20.0,10,0,0,10,3,1,0,0,0,52,0
20.0,11,0,0,10,3,1,0,0,0,54,0
20.0,12,0,0,12,4,1,0,0,0,62,0
20.0,13,0,0,15,4,1,0,0,0,66,1
20.0,14,0,0,16,4,1,0,0,0,67,1
20.0,15,0,0,17,4,1,0,0,0,68,1
20.0,16,0,0,17,4,1,0,0,0,70,1
20.0,17,0,0,18,4,1,1,0,0,75,1
21.0,1,0,0,0,0,0,0,0,0,5,0
21.0,2,0,0,1,0,0,0,0,0,14,0
21.0,3,0,0,3,1,0,0,0,0,18,0
21.0,4,0,0,4,1,0,0,0,0,23,0
21.0,5,0,0,5,1,0,0,0,0,26,0
21.0,6,0,0,5,1,0,0,0,0,30,0
21.0,7,0,0,5,1,0,0,0,0,33,0
21.0,8,0,0,5,1,0,0,0,0,43,0
21.0,9,0,0,7,2,0,0,0,0,48,0
21.0,10,0,0,8,2,0,0,0,0,56,0
21.0,11,0,0,8,2,0,0,0,0,58,0
21.0,12,0,0,10,2,0,0,0,0,67,0
21.0,13,0,0,13,2,0,0,0,0,71,1
21.0,14,0,0,14,2,0,0,0,0,72,1
21.0,15,0,0,15,2,0,0,0,0,73,1
21.0,16,0,0,15,2,0,0,0,0,75,1
21.0,17,0,0,16,2,0,0,0,0,80,2
22.0,1,0,0,0,0,0,0,0,0,5,0
22.0,2,0,0,1,0,0,0,0,0,14,0
22.0,3,0,0,3,1,0,0,0,0,18,0
22.0,4,0,0,4,1,0,0,0,0,23,0
22.0,5,0,0,5,1,0,0,0,0,26,0
22.0,6,0,0,5,1,0,0,0,0,30,0
22.0,7,0,0,5,1,0,0,0,0,33,0
22.0,8,0,0,5,1,0,0,0,0,43,0
22.0,9,0,0,7,2,0,0,0,0,48,0
22.0,10,0,0,8,2,0,0,0,0,56,0
22.0,11,0,0,8,2,0,0,0,0,58,0
22.0,12,0,0,9,2,0,0,0,0,68,0
22.0,13,0,0,12,2,0,0,0,0,72,1
22.0,14,0,0,13,2,0,0,0,0,73,1
22.0,15,0,0,14,2,0,0,0,0,74,1
22.0,16,0,0,14,2,0,0,0,0,76,1
22.0,17,0,0,15,2,0,0,0,0,81,2
23.0,1,0,0,0,0,0,0,0,0,5,0
23.0,2,0,0,1,0,0,0,0,0,14,0
23.0,3,0,0,3,1,0,0,0,0,18,0
23.0,4,0,0,4,1,0,0,0,0,23,0
23.0,5,0,0,5,1,0,0,0,0,26,0
23.0,6,0,0,5,1,0,0,0,0,30,0
23.0,7,0,0,5,1,0,0,0,0,33,0
23.0,8,0,0,5,1,0,0,0,0,43,0
23.0,9,0,0,7,2,0,0,0,0,48,0
23.0,10,0,0,8,2,0,0,0,0,56,0
23.0,11,0,0,8,2,0,0,0,0,58,0
23.0,12,0,0,9,2,0,0,0,0,68,0
23.0,13,0,0,12,2,0,0,0,0,72,1
23.0,14,0,0,13,2,0,0,0,0,73,1
23.0,15,0,0,14,2,0,0,0,0,74,1
23.0,16,0,0,14,2,0,0,0,0,76,1
23.0,17,0,0,15,2,0,0,0,0,81,2
24.0,1,0,0,0,0,0,0,0,0,5,0
24.0,2,0,0,1,0,0,0,0,0,14,0
24.0,3,0,0,3,0,0,0,0,0,19,0
24.0,4,0,0,4,0,0,0,0,0,24,0
24.0,5,0,0,5,0,0,0,0,0,27,0
24.0,6,0,0,5,0,0,0,0,0,31,0
24.0,7,0,0,5,0,0,0,0,0,34,0
24.0,8,0,0,5,0,0,0,0,0,44,0
24.0,9,0,0,7,1,0,0,0,0,49,0
24.0,10,0,0,8,1,0,0,0,0,57,0
24.0,11,0,0,8,1,0,0,0,0,59,0
24.0,12,0,0,9,1,0,0,0,0,69,0
24.0,13,0,0,12,1,0,0,0,0,73,1
24.0,14,0,0,13,1,0,0,0,0,74,1
24.0,15,0,0,14,1,0,0,0,0,75,1
24.0,16,0,0,14,1,0,0,0,0,77,1
24.0,17,0,0,15,1,0,0,0,0,82,2
25.0,1,0,0,0,0,0,0,0,0,5,0
25.0,2,0,0,1,0,0,0,0,0,14,0
25.0,3,0,0,3,0,0,0,0,0,19,0
25.0,4,0,0,4,0,0,0,0,0,24,0
25.0,5,0,0,5,0,0,0,0,0,27,0
25.0,6,0,0,5,0,0,0,0,0,31,0
25.0,7,0,0,5,0,0,0,0,0,34,0
25.0,8,0,0,5,0,0,0,0,0,44,0
25.0,9,0,0,7,1,0,0,0,0,49,0
25.0,10,0,0,8,1,0,0,0,0,57,0
25.0,11,0,0,8,1,0,0,0,0,59,0
25.0,12,0,0,9,1,0,0,0,0,69,0
25.0,13,0,0,12,1,0,0,0,0,73,1
25.0,14,0,0,13,1,0,0,0,0,74,1
25.0,15,0,0,13,1,0,0,0,0,76,1
25.0,16,0,0,13,1,0,0,0,0,78,1
25.0,17,0,0,14,1,0,0,0,0,83,2
26.0,1,0,0,0,0,0,0,0,0,5,0
26.0,2,0,0,1,0,0,0,0,0,14,0
26.0,3,0,0,3,0,0,0,0,0,19,0
26.0,4,0,0,4,0,0,0,0,0,24,0
26.0,5,0,0,5,0,0,0,0,0,27,0
26.0,6,0,0,5,0,0,0,0,0,31,0
26.0,7,0,0,5,0,0,0,0,0,34,0
26.0,8,0,0,5,0,0,0,0,0,44,0
26.0,9,0,0,7,1,0,0,0,0,49,0
26.0,10,0,0,8,1,0,0,0,0,57,0
26.0,11,0,0,8,1,0,0,0,0,59,0
26.0,12,0,0,9,1,0,0,0,0,69,0
26.0,13,0,0,12,1,0,0,0,0,73,1
26.0,14,0,0,13,1,0,0,0,0,74,1
26.0,15,0,0,13,1,0,0,0,0,76,1
26.0,16,0,0,13,1,0,0,0,0,78,1
26.0,17,0,0,14,1,0,0,0,0,83,2
27.0,1,0,0,0,0,0,0,0,0,5,0
27.0,2,0,0,1,0,0,0,0,0,14,0
27.0,3,0,0,3,0,0,0,0,0,19,0
27.0,4,0,0,4,0,0,0,0,0,24,0
27.0,5,0,0,5,0,0,0,0,0,27,0
27.0,6,0,0,5,0,0,0,0,0,31,0
27.0,7,0,0,5,0,0,0,0,0,34,0
27.0,8,0,0,5,0,0,0,0,0,44,0
27.0,9,0,0,7,0,0,0,0,0,50,0
27.0,10,0,0,8,0,0,0,0,0,58,0
27.0,11,0,0,8,0,0,0,0,0,60,0
27.0,12,0,0,9,0,0,0,0,0,70,0
27.0,13,0,0,11,0,0,0,0,0,75,1
27.0,14,0,0,12,0,0,0,0,0,76,1
27.0,15,0,0,12,0,0,0,0,0,78,1
27.0,16,0,0,12,0,0,0,0,0,80,1
27.0,17,0,0,13,0,0,0,0,0,85,2
28.0,1,0,0,0,0,0,0,0,0,5,0
28.0,2,0,0,1,0,0,0,0,0,14,0
28.0,3,0,0,3,0,0,0,0,0,19,0
28.0,4,0,0,4,0,0,0,0,0,24,0
28.0,5,0,0,5,0,0,0,0,0,27,0
28.0,6,0,0,5,0,0,0,0,0,31,0
28.0,7,0,0,5,0,0,0,0,0,34,0
28.0,8,0,0,5,0,0,0,0,0,44,0
28.0,9,0,0,7,0,0,0,0,0,50,0
28.0,10,0,0,8,0,0,0,0,0,58,0
28.0,11,0,0,8,0,0,0,0,0,60,0
28.0,12,0,0,9,0,0,0,0,0,70,0
28.0,13,0,0,11,0,0,0,0,0,75,1
28.0,14,0,0,12,0,0,0,0,0,76,1
28.0,15,0,0,12,0,0,0,0,0,78,1
28.0,16,0,0,12,0,0,0,0,0,80,1
28.0,17,0,0,13,0,0,0,0,0,85,2
29.0,1,0,0,0,0,0,0,0,0,5,0
29.0,2,0,0,1,0,0,0,0,0,14,0
29.0,3,0,0,3,0,0,0,0,0,19,0
29.0,4,0,0,4,0,0,0,0,0,24,0
29.0,5,0,0,5,0,0,0,0,0,27,0
29.0,6,0,0,5,0,0,0,0,0,31,0
29.0,7,0,0,5,0,0,0,0,0,34,0
29.0,8,0,0,5,0,0,0,0,0,44,0
29.0,9,0,0,7,0,0,0,0,0,50,0
29.0,10,0,0,8,0,0,0,0,0,58,0
29.0,11,0,0,8,0,0,0,0,0,60,0
29.0,12,0,0,9,0,0,0,0,0,70,0
29.0,13,0,0,11,0,0,0,0,0,75,1
29.0,14,0,0,12,0,0,0,0,0,76,1
29.0,15,0,0,12,0,0,0,0,0,78,1
29.0,16,0,0,12,0,0,0,0,0,80,1
29.0,17,0,0,13,0,0,0,0,0,85,2
30.0,1,0,0,0,0,0,0,0,0,5,0
30.0,2,0,0,1,0,0,0,0,0,14,0
30.0,3,0,0,3,0,0,0,0,0,19,0
30.0,4,0,0,4,0,0,0,0,0,24,0
30.0,5,0,0,5,0,0,0,0,0,27,0
30.0,6,0,0,5,0,0,0,0,0,31,0
30.0,7,0,0,5,0,0,0,0,0,34,0
